California Patient Origin Report,,,,
Calendar Year 2022-2023,,,,
,,,,
FACILITY_NAME,- all -,,,
oshpd_id,- all -,,,
COUNTY_NAME,- all -,,,
pattype,- all -,,,
,,,,
Sum of discharges,year,,,
Row Labels,2022,2023,,
90025,11948,12833,,
90026,20299,21342,,
90027,14739,16900,,
90028,12104,12182,,
90029,14058,14743,,
90030,130,152,,
90031,14578,15627,,
90032,19653,19981,,
90033,24595,26609,,
90034,16851,17084,,
90035,9196,9262,,
90036,9264,9979,,
90037,32051,34758,,
90038,9842,10210,,
90039,8302,8718,,
90040,5712,5890,,
90041,8707,9155,,
90042,20066,20635,,
90043,24763,25438,,
90044,57342,60731,,
90045,11192,11385,,
90046,12312,12657,,
90047,30103,31661,,
90048,7430,10988,,
90049,9524,9753,,
90050,73,88,,
90051,127,127,,
90052,63,64,,
90053,59,70,,
90054,100,96,,
90055,65,49,,
90056,3910,3957,,
90057,19491,20965,,
90058,2091,2094,,
90059,31443,35487,,
90060,191,236,,
90061,19165,20567,,
90062,17427,17889,,
90063,24311,24772,,
90064,8493,9462,,
90065,16531,17423,,
90066,17070,17586,,
90067,1210,1266,,
90068,5124,5485,,
90069,5133,5080,,
90070,28,32,,
90071,302,241,,
90072,51,55,,
90073,112,149,,
90074,27,40,,
90075,77,65,,
90076,35,42,,
90077,2448,2632,,
90078,225,249,,
90079,26,22,,
90080,21,16,,
90081,129,69,,
90082,62,44,,
90083,65,49,,
90084,24,10,,
90086,87,74,,
90087,51,43,,
90088,71,72,,
90089,248,225,,
90091,32,40,,
90093,105,93,,
90094,2587,2805,,
90095,181,366,,
90096,21,25,,
90099,8,5,,
90134,3,4,,
90189,7,2,,
90201,43748,45450,,
90202,213,228,,
90209,164,135,,
90210,5398,5987,,
90211,2820,2797,,
90212,3463,3631,,
90213,146,165,,
90220,28890,29795,,
90221,28049,30250,,
90222,20203,20313,,
90223,169,153,,
90224,191,186,,
90230,10963,11273,,
90231,292,197,,
90232,6099,7482,,
90233,4,,,
90239,120,114,,
90240,9923,10445,,
90241,18824,19484,,
90242,18577,19574,,
90245,4866,4929,,
90247,23655,24434,,
90248,5283,5826,,
90249,12843,13483,,
90250,42462,44330,,
90251,312,309,,
90254,4713,4945,,
90255,33394,34258,,
